name,short_description,genres,release_date,developer,publisher,overall_player_rating,release_year,overall_player_rating_normalized
"Warhammer 40,000: Space Marine 2 - Season Pass",no description available,"['action', 'rpg', 'adventure', 'gore', 'violent']",2024-09-09,['Saber Interactive'],['Focus Entertainment'],2.0,2024.0,0.4
Alien: Isolation,"discover the true meaning of fear in alien: isolation, a survival horror set in an atmosphere of constant dread and mortal danger.","['horror', 'survival horror', 'sci-fi', 'aliens', 'atmospheric', 'stealth', 'first-person', 'space', 'female protagonist', 'survival', 'singleplayer', 'action', 'difficult', 'adventure', 'psychological horror', 'great soundtrack', 'fps', 'gore', 'shooter', 'vr']",2014-10-06,"['Creative Assembly', 'Feral Interactive (Mac)', 'Feral Interactive (Linux)']","['SEGA', 'Feral Interactive (Mac)', 'Feral Interactive (Linux)']",4.0,2014.0,0.8
Lost Judgment,"when a police officer discloses the murder of the student teacher who bullied his son to suicide, the twisted secrets of a yokohama, high school bleed out. nothing, in this case, is black and white.","['action', 'adventure', '""beat em up""', 'action-adventure', '3d fighter', 'cinematic', 'hack and slash', 'realistic', 'third person', 'crime', 'conspiracy', 'detective', 'dark', 'drama', 'foreign', 'investigation', 'gambling', 'martial arts', 'logic', 'modern']",2022-09-14,['Ryu Ga Gotoku Studio'],['SEGA'],4.0,2022.0,0.8
Lethal Company,a co-op horror about scavenging at abandoned moons to sell scrap to the company.,"['online co-op', 'horror', 'first-person', 'co-op', 'survival horror', 'exploration', 'psychological horror', 'funny', 'sci-fi', 'pve', 'atmospheric', 'procedural generation', 'aliens', 'time management', 'adventure', 'dungeon crawler', 'action', 'early access', 'action-adventure', 'perma death']",2023-10-23,['Zeekerss'],['Zeekerss'],5.0,2023.0,1.0
Thank Goodness You're Here!,"thank goodness you're here! is an absurd comedy slapformer set in the bizarre northern english town of barnsworth. as a traveling salesman, take the time to see the sights and meet the locals, who are very eager to give you a series of increasingly odd jobs…","['adventure', 'comedy', 'hand-drawn', 'funny', 'exploration', 'casual', '2d platformer', 'platformer', '2d', 'short', 'side scroller', 'indie', 'colorful', 'cartoon', 'singleplayer', 'open world', 'cartoony', 'puzzle', 'cinematic', 'puzzle platformer']",2024-08-01,['Coal Supper'],['Panic'],5.0,2024.0,1.0
STAR WARS™ Battlefront™ II,be the hero in the ultimate star wars™ battle fantasy with star wars™ battlefront™ ii: celebration edition!,"['multiplayer', 'shooter', 'singleplayer', 'action', 'third-person shooter', 'space', 'fps', 'sci-fi', 'co-op', 'combat', 'online co-op', 'vehicular combat', 'first-person', 'third person', 'adventure', 'pvp', 'aliens', 'controller', 'tactical', 'character customization']",2017-11-16,['DICE'],['Electronic Arts'],4.0,2017.0,0.8
Chained Together,"from the depths of hell, climb chained to your friends through diverse worlds. solo or co-op, try to reach the summit and discover what awaits you there...","['co-op', 'adventure', 'casual', 'platformer', 'simulation', 'puzzle platformer', 'action-adventure', '3d platformer', 'third person', 'exploration', 'funny', 'online co-op', 'mystery', 'post-apocalyptic', 'emotional', 'multiplayer', 'physics', 'surreal', 'choices matter', 'controller']",2024-06-19,['Anegar Games'],['Anegar Games'],4.0,2024.0,0.8
Forza Horizon 5,"explore the vibrant open world landscapes of mexico with limitless, fun driving action in the world’s greatest cars. join a thrilling game of chase with our new 5v1 multiplayer experience: hide & seek.","['racing', 'open world', 'driving', 'multiplayer', 'automobile sim', 'realistic', 'simulation', 'adventure', 'arcade', 'exploration', 'first-person', 'atmospheric', 'sports', 'co-op', 'pvp', 'online co-op', 'singleplayer', 'beautiful', 'action', 'vr']",2021-11-08,['Playground Games'],['Xbox Game Studios'],4.0,2021.0,0.8
ARK: Survival Ascended,"ark is reimagined from the ground-up into the next-generation of video game technology with unreal engine 5! form a tribe, tame & breed hundreds of unique dinosaurs and primeval creatures, explore, craft, build, and fight your way to the top of the food-chain. your new world awaits!","['early access', 'survival', 'open world', 'dinosaurs', 'multiplayer', 'adventure', 'building', 'action', 'crafting', 'base building', 'sandbox', 'character customization', 'pve', 'pvp', 'singleplayer', 'massively multiplayer', 'inventory management', 'rpg', 'sci-fi', 'fantasy']",2023-10-25,"['Studio Wildcard', 'Grove Street Games', 'Instinct Games']","['Studio Wildcard', 'Snail Games USA']",2.0,2023.0,0.4
Sons Of The Forest,"sent to find a missing billionaire on a remote island, you find yourself in a cannibal-infested hellscape. craft, build, and struggle to survive, alone or with friends, in this terrifying new open-world survival horror simulator.","['survival', 'open world', 'multiplayer', 'co-op', 'survival horror', 'base building', 'horror', 'crafting', 'first-person', 'exploration', 'building', 'adventure', 'singleplayer', 'atmospheric', 'action-adventure', 'sandbox', 'action', 'simulation', 'early access', 'immersive sim']",2024-02-22,['Endnight Games Ltd'],['Newnight'],4.0,2024.0,0.8
